image_id,label
ISIC_0065613,1
ISIC_0058767,2
ISIC_0057339,1
ISIC_0065450,3
ISIC_0066261,1
ISIC_0054480,1
ISIC_0069483,3
ISIC_0062767,0
ISIC_0061049,0
ISIC_0056425,0
ISIC_0057858,1
ISIC_0059378,4
ISIC_0066979,2
ISIC_0063757,0
ISIC_0065232,4
ISIC_0070803,1
ISIC_0070703,6
ISIC_0061148,7
ISIC_0067242,1
ISIC_0054404,1
ISIC_0057182,7
ISIC_0065948,1
ISIC_0055185,4
ISIC_0069672,1
ISIC_0064759,0
ISIC_0068942,1
ISIC_0067926,1
ISIC_0068505,2
ISIC_0067546,4
ISIC_0063149,2
ISIC_0057070,1
ISIC_0062142,1
ISIC_0067859,1
ISIC_0064768,1
ISIC_0065898,1
ISIC_0061716,1
ISIC_0067821,0
ISIC_0068011,0
ISIC_0059872,3
ISIC_0056461,1
ISIC_0066862,1
ISIC_0060835,1
ISIC_0059804,0
ISIC_0071905,7
ISIC_0065161,1
ISIC_0068155,1
ISIC_0069443,2
ISIC_0073224,3
ISIC_0067307,0
ISIC_0058448,0
ISIC_0054351,0
ISIC_0061174,2
ISIC_0067006,0
ISIC_0064142,1
ISIC_0070467,4
ISIC_0055650,6
ISIC_0067448,1
ISIC_0054632,4
ISIC_0058798,0
ISIC_0061472,1
ISIC_0069026,1
ISIC_0057202,1
ISIC_0072420,1
ISIC_0059438,1
ISIC_0062368,4
ISIC_0063720,2
ISIC_0059933,1
ISIC_0071101,0
ISIC_0058218,0
ISIC_0056196,1
ISIC_0070018,0
ISIC_0053672,2
ISIC_0072266,1
ISIC_0060495,0
ISIC_0055347,2
ISIC_0068607,3
ISIC_0060020,2
ISIC_0071056,2
ISIC_0057539,0
ISIC_0070347,0
ISIC_0067151,0
ISIC_0056673,1
ISIC_0069038,2
ISIC_0065535,0
ISIC_0068697,1
ISIC_0059714,1
ISIC_0072942,2
ISIC_0067600,2
ISIC_0065889,0
ISIC_0060168,2
ISIC_0067687,1
ISIC_0065468,0
ISIC_0071860,1
ISIC_0056956,7
ISIC_0061372,1
ISIC_0069772,3
ISIC_0064487,1
ISIC_0058453,0
ISIC_0068007,1
ISIC_0071871,4
